system:index,Blue,Blue_contrast,Blue_corr,Blue_diss,DEM,Green,Green_contrast,Green_corr,Green_diss,NDVI,NDWI,Near-Infrared,Near-Infrared_contrast,Near-Infrared_corr,Near-Infrared_diss,OSAVI,RGVI,Red,Red_contrast,Red_corr,Red_diss,label,name,random,.geo
00000000000000000148,158,13.744445770563884,0.10386754989757416,2.516202485277409,1.923396,166,17.19201724977996,0.2267155022006002,3.2114785006651174,0.19495344,-0.21272038,255,0.0,1.0,0.0,0.1948803802564471,-0.018538307,172,16.176691534823966,0.23502332706403808,2.973132438663085,0,Unvegetated,0.5582398895301406,"{""type"":""Point"",""coordinates"":[-121.75529497693118,36.80480473919691]}"
00000000000000000186,158,3.574976629021501,-0.13701589168774747,1.4719727947031895,1.9254762,168,4.552511344299459,-0.02508980287894042,1.6279077768196961,0.18897025,-0.2058374,255,0.0,1.0,0.0,0.18889979263676235,-0.017549852,174,3.608515737232245,-0.23312268589981494,1.3539476526060015,0,Unvegetated,0.5013570226608728,"{""type"":""Point"",""coordinates"":[-121.75529497693118,36.80480473919691]}"
000000000000000001d8,152,11.783846786670871,0.32299905280242064,2.740360700306597,1.9245862,161,8.859245036013014,0.23980524047059318,2.438593900767788,0.2058038,-0.22579142,255,0.0,1.0,0.0,0.20572597754155492,-0.020962436,168,6.1795694940412575,0.26376979821349383,2.001445170086143,0,Unvegetated,0.4300005810293088,"{""type"":""Point"",""coordinates"":[-121.75529497693118,36.80480473919691]}"
0000000000000000022a,156,9.327838168951331,0.27005823390934425,2.5844646424605373,1.9220027,166,10.227832522058486,0.24860690233012966,2.7308810420600653,0.19621806,-0.21114103,255,0.0,1.0,0.0,0.19614444826744226,-0.015569899,171,8.251782252797002,0.2961477224824782,2.4129138375846995,0,Unvegetated,0.12973483289782572,"{""type"":""Point"",""coordinates"":[-121.75529497693118,36.80480473919691]}"
0000000000000000023f,155,4.350617792523098,-0.07134428127233385,1.709656158446864,1.9243422,162,4.636852869914454,-0.029926707527754073,1.6482984445677191,0.20705055,-0.2233607,255,0.0,1.0,0.0,0.20697215702945015,-0.017100038,168,5.031862880263579,0.016867137368101817,1.6619922055549572,0,Unvegetated,0.13890206773492608,"{""type"":""Point"",""coordinates"":[-121.75529497693118,36.80480473919691]}"
0000000000000000018c,149,26.827467340622604,0.1897479978015779,4.438414719980702,1.9279361,159,23.67346283406827,0.19722842383979422,4.0686142506476735,0.20716146,-0.23104464,255,0.0,1.0,0.0,0.20708303077074683,-0.025083816,167,19.993345860369654,0.21781867519755005,3.8179024703279674,0,Unvegetated,0.6294127367696056,"{""type"":""Point"",""coordinates"":[-121.75529051783013,36.80480473919691]}"
00000000000000000004,162,13.259520524305113,0.11525113213414497,2.93355177857836,1.9369746,169,10.786108546785456,-0.07437900333673929,2.6215463095468694,0.1799233,-0.2021422,255,0.0,1.0,0.0,0.1798567257747095,-0.02305759,177,8.839246610128964,-0.012201373190366226,2.3378490123522266,0,Unvegetated,0.340236610799198,"{""type"":""Point"",""coordinates"":[-121.75527268142595,36.80480919829796]}"
0000000000000000002b,162,4.701742242364772,0.07317170590097533,1.6648581852973912,1.9355019,169,3.4904778637995744,0.16993172121473246,1.4136817506635502,0.17946588,-0.20316038,255,0.0,1.0,0.0,0.17939948320975704,-0.024589784,177,4.1882451881128455,0.11724905843683871,1.6757718011013802,0,Unvegetated,0.005566627858387796,"{""type"":""Point"",""coordinates"":[-121.75527268142595,36.80480919829796]}"
00000000000000000040,158,4.413432865915974,-0.3109670067221261,1.7684862782566801,1.9347135,167,6.422859632851915,-0.2659703920176229,2.041808907023758,0.18616451,-0.20740964,255,0.0,1.0,0.0,0.18609526565104223,-0.022100216,175,5.948996152585888,-0.21237948783258503,1.96380513493399,0,Unvegetated,0.3603925526821664,"{""type"":""Point"",""coordinates"":[-121.75527268142595,36.80480919829796]}"
000000000000000000cb,153,26.957927996593213,0.003660258170672906,4.389395357160007,1.9339472,159,32.722756822977196,-0.023124174515544764,4.636213208880307,0.21021843,-0.23167318,255,0.0,1.0,0.0,0.21013865219204145,-0.022551097,166,24.984122871601304,5.743773230509064E-4,4.072621576635627,0,Unvegetated,0.8728217128228578,"{""type"":""Point"",""coordinates"":[-121.75527268142595,36.80480919829796]}"
000000000000000001fb,161,10.618038060648114,0.03567486849030881,2.719013461538445,1.936135,168,11.738300591527091,0.020194432829418962,3.011616986425505,0.18384793,-0.20599093,255,0.0,1.0,0.0,0.1837796693258753,-0.023014143,176,11.848844932730746,-0.11989979770261083,2.737403213862205,0,Unvegetated,0.8073943689362996,"{""type"":""Point"",""coordinates"":[-121.75527268142595,36.80480919829796]}"
00000000000000000009,161,8.695338354196053,-0.16990601044471074,2.259236478206331,1.9369689,167,10.179712830409986,-0.1334301749660897,2.3813020982212723,0.18566494,-0.20813471,255,0.0,1.0,0.0,0.18559590117997968,-0.023373224,175,10.94710050141439,-0.14022043976290174,2.4313296136990736,0,Unvegetated,0.47889654739307086,"{""type"":""Point"",""coordinates"":[-121.7552682223249,36.80481365739901]}"
0000000000000000001c,155,11.622319653854873,0.06273593392216631,2.7787276278791615,1.9401841,169,8.341652980104582,0.14939400767873912,2.3483460651671333,0.19148652,-0.20291619,255,0.0,1.0,0.0,0.19141497295278576,-0.01189445,173,11.077215318951554,-0.025648549502035663,2.646554576993477,0,Unvegetated,0.08374928508417001,"{""type"":""Point"",""coordinates"":[-121.7552682223249,36.80481365739901]}"
0000000000000000007a,150,4.569969027043079,-0.06928865926961782,1.6236351382366636,1.9378442,164,2.6719651414915537,-0.27596605815245034,1.2216679886903385,0.19267842,-0.21680626,255,0.0,1.0,0.0,0.19260634913620417,-0.025181092,173,1.5097452767626767,-0.18365676464818614,0.9816404886904435,0,Unvegetated,0.7819435301193124,"{""type"":""Point"",""coordinates"":[-121.7552682223249,36.80481365739901]}"
0000000000000000012d,165,1.7267976061953818,-0.14865876760728683,0.8096349327260188,1.9341912,173,3.8424000169198878,-0.07321439338017979,1.492705228385264,0.18039335,-0.19142355,255,0.0,1.0,0.0,0.1803265814392161,-0.011424708,177,3.0942099130694354,-0.10170463280516669,1.3658781110941745,0,Unvegetated,0.6829938292016298,"{""type"":""Point"",""coordinates"":[-121.7552682223249,36.80481365739901]}"
0000000000000000015e,161,19.87513173638854,0.27562459429117814,3.7221857328571266,1.936572,171,14.965890512025055,0.20520193800218697,3.1760948367578967,0.1721328,-0.19580714,255,0.0,1.0,0.0,0.1720695161963558,-0.024499957,180,14.062234741596514,0.19950093947254907,3.109449299598891,0,Unvegetated,0.38699594498782475,"{""type"":""Point"",""coordinates"":[-121.7552682223249,36.80481365739901]}"
000000000000000001d3,161,15.098398179084707,0.04811425707836108,3.308380705293046,1.9381715,171,15.5666914900117,0.060821361402870706,3.192949002080969,0.17636342,-0.19706365,255,0.0,1.0,0.0,0.17629834180501072,-0.021443672,179,18.374573186974295,0.12659728574296897,3.6133538812373778,0,Unvegetated,0.6690273345486507,"{""type"":""Point"",""coordinates"":[-121.7552682223249,36.80481365739901]}"
00000000000000000204,168,46.63661747655096,0.20341173820643726,5.388627949389937,1.9364358,179,45.995852062571295,0.2327242577078202,5.354140784623292,0.15222798,-0.1761434,255,0.0,1.0,0.0,0.15217296725179974,-0.024575248,188,41.57900441106705,0.21021326650854888,5.193518582296333,0,Unvegetated,0.777017311689112,"{""type"":""Point"",""coordinates"":[-121.7552682223249,36.80481365739901]}"
00000000000000000257,158,26.792918057641863,0.1012677074306667,4.283622006960517,1.9404266,170,27.7944197161541,0.13064271127429586,4.359123932673077,0.17992428,-0.20147659,255,0.0,1.0,0.0,0.17985767495812557,-0.022370273,177,19.855333785925623,0.01205974440834763,3.803877689344205,0,Unvegetated,0.4769591492620563,"{""type"":""Point"",""coordinates"":[-121.7552682223249,36.80481365739901]}"
00000000000000000083,155,22.280728664095808,0.019764895951587893,3.78407346507508,1.9060687,172,21.256054906635818,0.034107905485501216,3.762395812374101,0.17549345,-0.19557929,255,0.0,1.0,0.0,0.17542875560762677,-0.020801067,179,19.238124004109125,-0.030525137311852517,3.365365676346414,0,Unvegetated,0.5280553150048571,"{""type"":""Point"",""coordinates"":[-121.75531281333541,36.80480028009585]}"
00000000000000000174,161,68.2649903941834,-0.11005626282807641,6.52948992192177,1.9081566,180,68.4687703746811,-0.15340614791625218,6.542823087679826,0.15546355,-0.17308572,255,0.0,1.0,0.0,0.15540717719282685,-0.018105166,186,75.37238829777831,-0.1260156641848565,6.811934405711295,0,Unvegetated,0.013690252144727855,"{""type"":""Point"",""coordinates"":[-121.75531281333541,36.80480028009585]}"
