system:index,Green,Green_contrast,Green_corr,Green_diss,NDRE,NDVI,NDWI,Near-Infrared,Near-Infrared_contrast,Near-Infrared_corr,Near-Infrared_diss,OSAVI,RGVI,Red,Red-Edge,Red-Edge_contrast,Red-Edge_corr,Red-Edge_diss,Red_contrast,Red_corr,Red_diss,label,name,random,.geo
00000000000000000020,10946,1100989.625,0.18726388991678636,913.9166666666666,0.03402533,0.15949753,-0.28794926,19799,1905780.063,0.18776616680856784,1026.4791666666667,0.15949677844032237,-0.13463515,14352,18496,745591.9791666665,-0.162565436,699.1875,1279194.5416666667,0.20349953205764276,942.375,0,unvegetated,0.20703090720875872,"{""type"":""Point"",""coordinates"":[-121.75915209934243,36.81231832447197]}"
00000000000000000021,10661,361477.2916666666,-0.346717552,493.8333333333333,0.013866014778614044,0.15213716,-0.28317365,19084,709516.0833333334,-0.295333359,689.4583333333333,0.15213643015488937,-0.13693585,14044,18562,125673.41666666667,-0.362100088,301.95833333333326,375042.7916666666,-0.130940741,481.4166666666667,0,unvegetated,0.9316163022200664,"{""type"":""Point"",""coordinates"":[-121.75915209934243,36.81231832447197]}"
00000000000000000022,11018,553400,-0.118256621,571.25,0.027764005586504936,0.17267713,-0.30590904,20730,2384203.333333333,0.32993396296928923,1363.875,0.1726763504959389,-0.14066216,14625,19610,1045285.4791666665,0.2931656245926929,875.0208333333334,829415.1875,0.11943132302065282,777.5625,0,unvegetated,0.8486272730563016,"{""type"":""Point"",""coordinates"":[-121.75915209934243,36.81231832447197]}"
00000000000000000023,10340,168724.6458333333,-0.001095692,333.93749999999994,0.035278637,0.1451789,-0.29236245,18884,482273.0833333333,0.36973629741463565,596.8333333333333,0.14517819197966292,-0.15370764,14096,17597,100506.64583333333,-0.005511042,236.1875,92816.39583333333,0.10232229668237725,256.22916666666663,0,unvegetated,0.35454222574378647,"{""type"":""Point"",""coordinates"":[-121.75915209934243,36.812322783573016]}"
00000000000000000024,10892,445896.625,-0.214586955,551.2083333333333,0.024829511,0.1220595,-0.28231147,19461,631408.0416666666,-0.06659723,655.3333333333333,0.12205893884253301,-0.16597113,15227,18518,220358.5833333333,-0.136686178,403.54166666666663,599735.3750000001,-0.307288105,541.375,0,unvegetated,0.7702922474294689,"{""type"":""Point"",""coordinates"":[-121.75914764024141,36.81231832447197]}"
00000000000000000025,10143,189116.16666666663,-0.082985073,369.08333333333326,0.017805859446525574,0.14377925,-0.2719377,17720,205899.625,-0.077788088,308.29166666666663,0.14377850558138153,-0.1333732,13265,17100,304724.2708333333,0.16491501922162374,410.3125,209134.20833333337,-0.124394432,392.33333333333337,0,unvegetated,0.6521592536269636,"{""type"":""Point"",""coordinates"":[-121.75915655844351,36.8123138653709]}"
00000000000000000026,11308,256460.35416666666,0.042832770135818383,408.8958333333333,0.052717865,0.14895996,-0.29005525,20548,815043.2083333335,-0.268127987,777.75,0.14895929787833648,-0.14746682,15220,18490,218928.7291666667,-0.326810482,389.6875,302346.25,0.002251644,439.3333333333333,0,unvegetated,0.065113195,"{""type"":""Point"",""coordinates"":[-121.75915655844351,36.8123138653709]}"
00000000000000000027,10319,102982.20833333334,-0.078573168,250.75,0.017254795879125595,0.1468506,-0.29498172,18954,108489.85416666666,0.30626254953674975,259.77083333333337,0.146849897,-0.15483844,14100,18311,193862.79166666663,-0.198418961,357.58333333333337,185067.87499999997,0.14641863721141762,364.08333333333337,0,unvegetated,0.36609493434191365,"{""type"":""Point"",""coordinates"":[-121.75914764024138,36.812322783573016]}"
00000000000000000028,9938,169080.77083333334,0.24792780031324946,364.97916666666663,0.012187227606773376,0.16351753,-0.28808337,17981,437625.2916666666,0.046154472,582.7916666666667,0.16351668944382325,-0.13072382,12927,17548,193794.6875,-0.025275451,314.60416666666663,392058.5,0.14200564404873545,554.3333333333333,0,unvegetated,0.7911025241058183,"{""type"":""Point"",""coordinates"":[-121.75915209934243,36.8123138653709]}"
00000000000000000029,9118,576860.75,0.21156872812513566,683.9166666666667,0.014788217842578888,0.1557789,-0.29298648,16675,1433460.813,0.1639534563342666,1057.6875,0.1557780306884453,-0.14376937,12180,16189,309716.7291666666,0.17461353940527366,476.22916666666674,439323.0208333333,0.25686506482348737,592.2291666666666,0,unvegetated,0.7173545480439633,"{""type"":""Point"",""coordinates"":[-121.75916547664559,36.8123049471688]}"
