system:index,Blue,Blue_contrast,Blue_corr,Blue_diss,DEM,Green,Green_contrast,Green_corr,Green_diss,RGVI,Red,Red_contrast,Red_corr,Red_diss,label,random,.geo
00000000000000000e08,89,241.37590401128236,-0.2800893735773088,13.31407049464019,1.9375792,99,246.00018446192792,-0.2648450126976967,13.191239689176044,0.018964106,96,347.84898147635806,-0.20229686041017528,16.174582212933444,1,0.48946270346174614,"{""type"":""Point"",""coordinates"":[-121.74840120670257,36.80835418363545]}"
00000000000000001333,62,1160.3212754827082,-0.28329485572385754,28.368116010078854,2.0480206,70,1168.6448240178638,-0.24170318609961425,27.932504108365265,-0.1650806,97,1046.4591595348134,-0.1757638689400615,25.27717031424489,1,0.9761806080267166,"{""type"":""Point"",""coordinates"":[-121.75330621786138,36.80650811579932]}"
00000000000000000da2,70,758.8499775187456,0.03912488372292912,21.047565742210633,2.2121022,78,766.6636497391162,0.04364877579656596,21.494959145921058,-0.1090973,97,739.9829860150159,0.04490132959059097,20.90890003547214,1,0.7383023917783964,"{""type"":""Point"",""coordinates"":[-121.75494716704904,36.80569210030654]}"
00000000000000000fd8,75,918.4874764290473,0.06319883585677583,25.025153637255723,2.0523882,78,916.4774198726669,0.058811159131103484,25.035118522936138,-0.11767296,97,919.7187695747234,0.07232007281939877,24.884002055348947,1,0.07969520925411588,"{""type"":""Point"",""coordinates"":[-121.75479555761324,36.80942882698933]}"
00000000000000000b72,81,1284.064730739583,-0.025893553054411923,27.52387847623749,2.2656841,83,1307.3432168025765,-0.03895050974052596,27.526850742416578,-0.07556877,97,1309.0605677985836,-0.04419022614264845,27.37978248757788,1,0.9109057413452937,"{""type"":""Point"",""coordinates"":[-121.751857010019,36.80621381512979]}"
000000000000000012b3,83,638.3161737177809,-0.21104694400737925,20.81059732220665,2.0575075,83,656.0820442943062,-0.2119475006692596,21.094873688306087,-0.08157674,97,640.3557849664135,-0.2008259220116376,21.093932390054167,1,0.7751553961787643,"{""type"":""Point"",""coordinates"":[-121.75261059809702,36.80555386817388]}"
0000000000000000107a,77,355.66788752375726,-0.08209576369082312,14.15971170342805,2.2469528,84,353.7704827494172,-0.08844787161701917,13.893526071677663,-0.074056596,97,336.3309399966898,-0.08752836578758388,13.679790597239833,1,0.8737091137862056,"{""type"":""Point"",""coordinates"":[-121.75516566300067,36.805544949971775]}"
00000000000000001274,76,399.5333108348368,-0.07192911781000665,15.743541887352293,2.1117213,84,406.82219841756944,-0.05577347404419036,15.804285139665199,-0.072863124,97,405.4731221231916,-0.1005742216355836,15.646908348372328,1,0.9398477824883739,"{""type"":""Point"",""coordinates"":[-121.75447896143844,36.80812231038067]}"
00000000000000000cd3,75,604.1753789266891,-0.04493505192344376,18.515168132372114,2.130408,85,659.0190165693747,-0.02111398806701757,19.537961975824288,-0.06476441,97,640.6984119371502,0.018022948803582562,19.206088170208073,1,0.6174877103093035,"{""type"":""Point"",""coordinates"":[-121.75358268212666,36.8068737620857]}"
000000000000000011e5,80,290.57912277741275,-0.11115421333263625,13.503751054130333,2.0016222,85,347.42540954460765,-0.10527329979107801,14.743296848377302,-0.06413359,97,299.3277073142097,-0.12224811761036247,13.787910565570556,1,0.7844535138811096,"{""type"":""Point"",""coordinates"":[-121.75340431808453,36.80548252255703]}"
