system:index,DEM,NDVI,Near-Infrared,Near-Infrared_contrast,Near-Infrared_corr,Near-Infrared_diss,OSAVI,Red,Red_contrast,Red_corr,Red_diss,label,random,.geo
00000000000000000335,-31.574305,-0.67347324,26,2.0176184934577828,-0.02075497201360026,1.1544444628832717,-0.6727889476096345,132,6.22868928206362,0.39580040348794854,2.1513737539764173,0,0.1474113823109603,"{""type"":""Point"",""coordinates"":[-121.75491595334168,36.81121692651176]}"
00000000000000000336,-31.572504,-0.6760094,27,1.6926165748761572,0.039599651622393046,1.021529445132371,-0.675371104393891,142,4.900854825546774,0.24893559746415114,1.642495287338506,0,0.35812141968273536,"{""type"":""Point"",""coordinates"":[-121.7549114942406,36.81121692651176]}"
00000000000000000337,-31.568132,-0.69661874,28,0.8852760476007853,0.11248644928846988,0.6117918315172959,-0.6960155267821421,157,39.5433871089793,0.24672188983022642,5.530616168507752,0,0.900489547078128,"{""type"":""Point"",""coordinates"":[-121.7549114942406,36.81121692651176]}"
00000000000000000338,-31.562037,-0.67532986,30,7.385703390655828,-0.013518333497484991,2.1276464125651238,-0.6747527432760869,157,12.708242557223045,0.1645872455558927,2.8336330954664155,0,0.4874314414850577,"{""type"":""Point"",""coordinates"":[-121.7549114942406,36.81121692651176]}"
00000000000000000339,-31.57248,-0.69728893,22,4.371789441260608,0.1805553402217876,1.7897326463114152,-0.6965165794672796,122,14.651595149060132,0.26050327570559084,2.8844048038955905,0,0.5530713233090693,"{""type"":""Point"",""coordinates"":[-121.75490703513955,36.81122138561281]}"
0000000000000000033a,-31.576166,-0.6574283,27,0.7824975843035751,0.19506318881425622,0.6830795380150553,-0.6567665520450023,132,7.5571210147467225,0.2498160638821686,2.4174915954388414,0,0.4684466268026817,"{""type"":""Point"",""coordinates"":[-121.75490703513955,36.81122138561281]}"
0000000000000000033b,-31.579426,-0.5742282,43,8.21394139496383,0.06042318526888283,2.4652459641795463,-0.5737742874564861,159,34.12211891420021,0.24167127917354395,4.844054984102879,0,0.35663652678845026,"{""type"":""Point"",""coordinates"":[-121.75490703513955,36.81122138561281]}"
0000000000000000033c,-31.58224,-0.668254,25,29.636336893310624,0.2932073891977516,4.834313864906065,-0.6675352285527822,124,73.3693916022429,0.347425465760383,7.60547337652983,0,0.2779759869519568,"{""type"":""Point"",""coordinates"":[-121.75490703513955,36.81122138561281]}"
0000000000000000033d,-31.57499,-0.6933393,24,3.5476445447625506,0.1974509824029625,1.5510004947776699,-0.6926273985752386,132,12.56293753889767,0.26920081976176713,3.1005428515452667,0,0.6280409751622724,"{""type"":""Point"",""coordinates"":[-121.75490703513955,36.81122138561281]}"
0000000000000000033e,-31.565918,-0.68541116,28,2.200396167157584,0.19559407440794474,1.1137607528759201,-0.6847988924894319,151,8.660628752446433,0.2202789360993329,2.5286006245270696,0,0.01748754674525954,"{""type"":""Point"",""coordinates"":[-121.75493378974588,36.81121246741071]}"
