system:index,Blue,Blue_contrast,Blue_corr,Blue_diss,DEM,Green,Green_contrast,Green_corr,Green_diss,RGVI,Red,Red_contrast,Red_corr,Red_diss,label,name,random,.geo
00000000000000000604,98,183.59661975705586,-0.17321081173491404,10.595595028012498,-31.771776,118,193.41486070255223,-0.20549138873940784,11.051051167486095,-0.018676903,122,186.32636057497461,-0.18859553322068046,10.750478174092247,2,WetSediment,0.4566034766507505,"{""type"":""Point"",""coordinates"":[-121.755192417607,36.804831493803235]}"
00000000000000000674,86,381.8999421939598,0.23853742413255297,15.509726118195143,-31.778423,108,461.23924806079634,0.2579668534016271,17.18276487102305,-0.02553566,113,404.14668565930907,0.24322178765552496,16.18348412648166,2,WetSediment,0.873065930087585,"{""type"":""Point"",""coordinates"":[-121.755192417607,36.804831493803235]}"
0000000000000000050a,55,87.0265177005981,-0.1940861544148652,7.895121513033003,-31.77209,66,111.61993301151898,-0.18535984639471675,8.86370373922357,-0.025718272,70,118.09567872448153,-0.1996361922001576,9.101447018018,2,WetSediment,0.7659158170290487,"{""type"":""Point"",""coordinates"":[-121.75520133580909,36.804831493803235]}"
00000000000000000747,61,69.14502518520283,-0.10586570833060935,6.857222776249104,-31.772839,72,89.62167475943757,-0.11996835463263224,7.868234537342351,-0.02721943,76,83.27306932292737,-0.15690732127107926,7.502131235777874,2,WetSediment,0.9218455478605319,"{""type"":""Point"",""coordinates"":[-121.75520133580909,36.804831493803235]}"
0000000000000000055e,93,160.88860000901337,-0.257769459473772,10.357648801861352,-31.771568,116,161.16599507559388,-0.2464450473871988,10.243412898754597,-0.016918495,120,171.1808886499483,-0.2552886533673484,10.732189608583521,2,WetSediment,0.06513687344380814,"{""type"":""Point"",""coordinates"":[-121.75520579491014,36.80479136189374]}"
0000000000000000056a,108,529.3231476250053,-0.11385614192494352,19.230667181437283,-31.78519,128,548.522561282487,-0.11524528885568341,19.85632132256276,-0.013667426,132,537.8026230420573,-0.11254827653030373,19.44811424273427,2,WetSediment,0.705759150494167,"{""type"":""Point"",""coordinates"":[-121.75520579491014,36.80479136189374]}"
0000000000000000056c,89,591.4871950069033,-0.30051699469681714,20.351753257566195,-31.772533,108,602.884833077248,-0.2748947409874234,20.61186758876081,-0.033206303,115,570.010978179675,-0.288790310462272,20.110221641353643,2,WetSediment,0.878884949799221,"{""type"":""Point"",""coordinates"":[-121.75520579491014,36.80479136189374]}"
000000000000000005e7,63,422.44936700067444,-0.3854620227559183,16.8430764170053,-31.774584,82,436.0542706904114,-0.35408739066712075,17.073271513055964,-0.014888897,85,452.66464245937453,-0.38679253157091,17.309943453598954,2,WetSediment,0.09932990196255509,"{""type"":""Point"",""coordinates"":[-121.75520579491014,36.80479136189374]}"
00000000000000000668,92,682.4615262722799,-0.03051246538025179,22.1540762490686,-31.781816,111,684.1527273519475,-0.03561871070547269,22.141543422096355,-0.022369215,116,713.6988931879571,-0.04164821926187783,22.46275053277455,2,WetSediment,0.04982707768860728,"{""type"":""Point"",""coordinates"":[-121.755192417607,36.80480919829796]}"
00000000000000000551,105,154.707719580921,-0.3418649130817676,10.461530948639911,-31.767872,132,153.44034468372905,-0.3395132640765035,10.58719600788098,-0.025799701,139,138.24615084295843,-0.3247616039507826,9.952390769299615,2,WetSediment,0.35053776162381434,"{""type"":""Point"",""coordinates"":[-121.75517458120277,36.80483595290427]}"
0000000000000000067c,85,510.0272963256458,0.003301179414096928,18.724011965559733,-31.770988,103,527.4484834837427,0.03251343391804983,18.85743797818444,-0.028493328,109,538.0890188821688,0.031055710402306144,19.12856233729419,2,WetSediment,0.5924641203568041,"{""type"":""Point"",""coordinates"":[-121.75517458120277,36.80483595290427]}"
0000000000000000070b,94,94.74727598536182,-0.07309726284868599,7.526559849260796,-31.765741,115,112.27909070794351,-0.06711547936088781,7.963752408500186,-0.02140736,120,97.55929352506939,-0.036865671189798346,7.691671094164481,2,WetSediment,0.21707124682776524,"{""type"":""Point"",""coordinates"":[-121.75517458120277,36.80483595290427]}"
00000000000000000514,104,326.95087607248365,-0.040409658907308355,15.957928363223992,-31.774776,125,373.25275598979874,-0.016353760490367096,16.614415711755058,-0.019539269,130,392.43702449466093,-0.020757541872830514,16.82927462416787,2,WetSediment,0.7244180001463039,"{""type"":""Point"",""coordinates"":[-121.75517904030382,36.804831493803235]}"
