GrndTruth,GrndTruth2,RASTERVALU,Classified,Latitude,Longitude
1,1,1,1,4074449.861699999775738,611229.099241000018083
0,0,0,0,4074446.080339999869466,611251.031139999977313
0,0,0,0,4074456.551800000015646,611318.397558999946341
0,0,0,0,4074463.474599999841303,611369.668948999955319
0,0,0,0,4074449.648390000220388,611365.538537999964319
0,0,0,0,4074457.560159999877214,611401.432389999972656
0,0,0,0,4074448.349150000140071,611431.528153000050224
0,0,0,0,4074461.244570000097156,611448.282496000058018
1,1,1,1,4074443.520639999769628,611081.684297999949194
0,0,0,0,4074441.426349999848753,611092.136369999963790
0,0,0,0,4074440.068940000142902,611097.934458000003360
0,0,2,2,4074443.811519999988377,611129.193717999965884
0,0,2,2,4074438.149170000106096,611134.235533999977633
0,0,0,0,4074437.683770000003278,611172.553334999945946
0,0,0,0,4074436.190620000008494,611170.090602000011131
0,0,0,0,4074436.500880000181496,611204.297384000034072
0,0,0,0,4074430.799749999772757,611251.961937000043690
1,1,2,2,4074429.616870000027120,611257.934550000005402
0,0,0,0,4074429.888350000139326,611315.993000000016764
0,0,0,0,4074434.871989999897778,611329.450771000003442
0,0,2,2,4074432.428650000132620,611369.009635000023991
0,0,2,2,4074440.728250000160187,611402.789802000042982
0,0,2,2,4074436.869330000132322,611399.086006000055932
0,0,0,0,4074436.326359999831766,611442.581364999990910
0,0,0,0,4074435.259819999802858,611454.662331999978051
0,0,0,0,4074426.281510000117123,611448.922417999943718
0,0,0,0,4074415.674310000147671,611120.331756000057794
0,0,0,0,4074406.366340000182390,611146.723724000039510
0,0,0,0,4074408.712720000185072,611169.470071000047028
0,0,0,0,4074409.372039999812841,611181.551038000034168
1,1,2,2,4074414.064799999818206,611232.279463000013493
1,1,0,0,4074422.984939999878407,611247.230387000017799
0,0,0,0,4074414.084199999924749,611273.874444999964908
1,1,1,1,4074409.624129999894649,611300.925726999994367
0,0,0,0,4074416.372400000225753,611327.181954000028782
0,0,0,0,4074411.543899999931455,611328.423015999956988
1,1,1,1,4074416.973540000151843,611372.752213999978267
1,1,1,1,4074408.693330000154674,611358.499387999996543
0,0,0,0,4074423.876949999947101,611408.607282000011764
0,0,2,2,4074415.208910000044852,611414.521719999960624
0,0,0,0,4074422.519539999775589,611443.415203999960795
0,0,0,0,4074394.711990000214428,611113.389563999953680
0,0,0,0,4074391.609329999890178,611131.540100999991409
0,0,2,2,4074404.213870000094175,611160.685675999964587
0,0,0,0,4074403.496379999909550,611175.830516000045463
0,0,0,0,4074388.177019999828190,611180.406932999962009
0,0,0,0,4074396.670539999846369,611240.753591999993660
1,1,1,1,4074392.830999999772757,611297.590372000006028
0,0,0,0,4074403.651510000228882,611317.040146999992430
0,0,2,2,4074394.285370000172406,611332.281944000045769
0,0,2,2,4074390.096789999864995,611327.550394000019878
0,0,0,0,4074388.021879999898374,611347.834007999976166
0,0,0,0,4074389.379300000146031,611388.246102000004612
0,0,0,0,4074397.097149999812245,611414.056321999989450
0,0,0,0,4074373.323049999773502,611103.150799000053667
0,0,0,0,4074370.433699999935925,611119.885750000015832
0,0,2,2,4074372.372860000003129,611148.740450000041164
0,0,0,0,4074366.788079999852926,611193.147213999996893
0,0,0,0,4074376.096049999818206,611216.455917999963276
0,0,0,0,4074381.913530000019819,611258.012116000056267
1,1,2,2,4074379.140529999975115,611248.044833999942057
0,0,0,0,4074376.735969999805093,611293.595701999962330
0,0,0,0,4074378.946620000060648,611336.955319999950007
0,0,0,0,4074383.678170000202954,611353.438180000055581
0,0,0,0,4074373.226090000011027,611348.221840000012890
0,0,0,0,4074373.284270000178367,611381.168167999945581
0,0,0,0,4074368.106709999963641,611406.105765999993309
1,1,1,1,4074368.145490000024438,611493.212832999997772
0,0,0,0,4074373.866020000074059,611503.587338999961503
0,0,0,0,4074369.095679999794811,611604.889057000051253
0,0,0,0,4074371.189979999791831,611622.865070000058040
0,0,0,0,4074357.305590000003576,611106.234062999952585
1,1,1,1,4074356.006349999923259,611120.448105999967083
0,0,2,2,4074362.328009999822825,611152.405462999944575
0,0,2,2,4074352.496470000129193,611192.565466000000015
0,0,0,0,4074351.759589999914169,611190.316040999954566
1,1,2,2,4074357.829160000197589,611233.966531999991275
0,0,0,0,4074362.870980000123382,611249.053196999942884
0,0,0,0,4074354.358070000074804,611262.433400999987498
0,0,2,2,4074353.601790000218898,611293.266045000054874
0,0,0,0,4074357.402550000231713,611304.377432000008412
0,0,2,2,4074366.206329999957234,611354.136277999961749
0,0,0,0,4074349.665299999993294,611371.375409999978729
0,0,2,2,4074363.123070000205189,611390.592486000037752
0,0,2,2,4074352.108640000224113,611403.933905999991111
0,0,0,0,4074351.080889999866486,611437.558941000024788
0,0,0,0,4074355.637910000048578,611461.856615999946371
0,0,0,0,4074363.200639999937266,611514.815075000049546
0,0,2,2,4074356.161489999853075,611501.919661000021733
0,0,0,0,4074349.762260000221431,611534.788423000019975
0,0,0,0,4074362.812799999956042,611541.905140000046231
0,0,0,0,4074365.488849999848753,611585.206583000021055
0,0,0,0,4074363.879339999984950,611590.325964999967255
0,0,0,0,4074350.964540000073612,611596.938501000055112
1,1,1,1,4074354.009020000230521,611641.577964000054635
0,0,0,0,4074341.501439999789000,611125.451139000011608
0,0,0,0,4074333.492709999904037,611143.582285000011325
0,0,0,0,4074342.141359999775887,611163.807723999954760
0,0,0,0,4074337.138329999987036,611182.384875999996439
1,1,2,2,4074343.750860000029206,611203.579894999973476
1,1,0,0,4074340.008280000183731,611235.634210000047460
0,0,0,0,4074338.689650000073016,611251.283230999950320
0,0,0,0,4074332.096510000061244,611253.358131999964826
0,0,0,0,4074336.944409999996424,611312.424945999984629
0,0,0,0,4074331.049360000062734,611320.550026000011712
0,0,0,0,4074339.077490000054240,611363.715728000039235
0,0,0,0,4074331.592329999897629,611389.409597999998368
0,0,0,0,4074330.157349999994040,611378.860568000003695
0,0,0,0,4074342.238320000004023,611418.787872000015341
0,0,0,0,4074327.461920000147074,611451.443326000007801
0,0,0,0,4074333.628450000192970,611482.663801999995485
0,0,0,0,4074327.326179999858141,611478.863049000035971
0,0,2,2,4074344.196870000101626,611524.840531999943778
1,1,1,1,4074344.255040000192821,611537.910471000010148
1,1,1,1,4074340.337939999997616,611563.274683000054210
0,0,0,0,4074331.766849999781698,611573.862497000023723
0,0,0,0,4074326.899559999816120,611582.957156999967992
0,0,0,0,4074327.112869999837130,611620.615645000012591
1,1,1,1,4074339.504100000020117,611640.744124999968335
0,0,0,0,4074308.845980000216514,611138.714993000030518
0,0,2,2,4074324.630739999935031,611171.797063000034541
0,0,0,0,4074326.763819999992847,611184.556735999998637
0,0,0,0,4074311.153580000158399,611185.933538999990560
0,0,0,0,4074322.168010000139475,611243.216326000052504
0,0,0,0,4074311.968030000105500,611263.422372999950312
0,0,0,0,4074308.458149999845773,611271.411712000030093
1,1,1,1,4074325.697279999963939,611341.124514000024647
0,0,0,0,4074323.506029999814928,611358.053380999946967
0,0,0,0,4074316.040270000230521,611379.403532000025734
0,0,0,0,4074312.569170000031590,611397.670419999980368
1,1,2,2,4074308.147880000062287,611451.365759999956936
0,0,0,0,4074317.184369999915361,611492.165686000022106
0,0,2,2,4074308.749019999988377,611533.683102000039071
0,0,0,0,4074321.334170000161976,611550.592577000032179
0,0,2,2,4074311.444459999911487,611543.301334999967366
0,0,0,0,4074324.281700000166893,611579.835109999985434
0,0,0,0,4074313.015180000104010,611596.977284000022337
0,0,0,0,4074317.804899999871850,611630.718667999957688
1,1,1,1,4074308.884769999887794,611637.117896000039764
1,1,0,0,4074295.698479999788105,611124.927566000027582
0,0,0,0,4074294.903419999871403,611123.531369999982417
0,0,0,0,4074301.923179999925196,611175.694773999974132
0,0,0,0,4074289.396209999918938,611181.357121999957599
0,0,0,0,4074294.903419999871403,611203.773811000050046
0,0,0,0,4074303.280590000096709,611261.948610999970697
0,0,0,0,4074300.391239999793470,611268.134532000054605
1,1,1,1,4074298.296949999872595,611326.658380000037141
1,1,1,1,4074289.008380000013858,611349.385336000006646
0,0,0,0,4074288.426630000118166,611338.622998000006191
1,1,1,1,4074289.066550000105053,611409.285987999988720
1,1,2,2,4074288.038800000213087,611413.843013999983668
0,0,0,0,4074294.185930000152439,611448.107971000019461
1,1,0,0,4074303.338769999798387,611481.752396999974735
1,1,2,2,4074293.778710000216961,611478.436434000032023
0,0,2,2,4074297.715199999976903,611513.050440000020899
0,0,0,0,4074292.246770000085235,611516.696059999987483
0,0,0,0,4074297.850939999800175,611536.611232999945059
1,1,1,1,4074268.065450000111014,611148.740450000041164
0,0,0,0,4074281.174170000012964,611166.483764000004157
0,0,2,2,4074287.049819999840111,611216.397742999950424
0,0,0,0,4074278.769609999842942,611216.087476999964565
0,0,0,0,4074279.894319999963045,611252.679425999987870
0,0,2,2,4074270.586360000073910,611277.946680999943055
0,0,2,2,4074269.112590000033379,611277.539457999984734
0,0,1,1,4074284.102299999911338,611331.234797999961302
0,0,0,0,4074271.730460000224411,611352.604340999969281
1,1,1,1,4074274.135019999928772,611364.413825999945402
0,0,1,1,4074283.772640000097454,611386.830515000037849
0,0,0,0,4074276.772280000150204,611412.272294000023976
1,1,0,0,4074280.941469999961555,611438.160079999943264
0,0,1,1,4074273.242999999783933,611458.482476999983191
0,0,0,0,4074271.109929999802262,611479.037572999950498
0,0,0,0,4074280.650599999818951,611515.668305000057444
1,1,1,1,4074252.668519999831915,611142.535138000035658
0,0,0,0,4074255.906909999903291,611162.799359999946319
0,0,0,0,4074249.391340000089258,611165.688709000009112
0,0,0,0,4074266.358990000095218,611198.324771999963559
0,0,2,2,4074264.090170000214130,611220.217887999955565
0,0,0,0,4074266.145680000074208,611250.604524999973364
0,0,0,0,4074248.033919999841601,611251.360798000008799
1,1,2,2,4074252.590950000099838,611289.504074999946170
0,0,0,0,4074260.444550000131130,611338.487256000051275
1,1,1,1,4074255.325170000083745,611340.154933999991044
0,0,0,0,4074252.610340000130236,611395.808825999964029
0,0,0,0,4074247.646089999936521,611400.482201999984682
0,0,0,0,4074252.959389999974519,611452.102640999946743
0,0,0,0,4074264.846439999993891,611492.417776999995112
1,1,1,1,4074264.633129999972880,611485.262277000001632
1,1,0,0,4074262.209179999772459,611478.281301000039093
1,1,1,1,4074245.571190000046045,611142.826011999975890
1,1,1,1,4074234.634329999797046,611178.079940999974497
0,0,0,0,4074227.847269999794662,611159.367046999977902
0,0,2,2,4074243.806559999939054,611237.864244000054896
0,0,0,0,4074236.340789999812841,611251.651671999949031
0,0,2,2,4074239.734319999814034,611268.095747999963351
0,0,0,0,4074231.473499999847263,611285.897237000055611
1,1,2,2,4074246.947989999782294,611396.274224000051618
1,1,1,1,4074242.197050000075251,611412.931608999962918
1,1,0,0,4074236.185659999959171,611404.205389000009745
1,1,0,0,4074234.091359999962151,611430.985188000020571
1,1,0,0,4074246.017200000118464,611446.828126000007614
0,0,0,0,4074245.920239999890327,611440.642205000040121
0,0,0,0,4074212.876949999947101,611177.110361000057310
0,0,2,2,4074223.542330000083894,611208.233878999948502
0,0,0,0,4074219.489490000065416,611217.309147999971174
0,0,0,0,4074218.907740000169724,611251.884370999992825
1,1,0,0,4074218.481130000203848,611244.593129000044428
0,0,0,0,4074208.416889999993145,611296.717749999952503
0,0,0,0,4074217.240060000214726,611351.809285999974236
0,0,0,0,4074222.495190000161529,611387.451046000001952
0,0,0,0,4074213.322960000019521,611390.708835000055842
1,1,1,1,4074207.835140000097454,611387.160171999945305
1,1,1,1,4074221.176560000050813,611411.496629999950528
0,0,0,0,4074189.432510000187904,611159.657921000034548
0,0,0,0,4074205.682670000009239,611201.466210999991745
0,0,0,0,4074200.175460000056773,611205.383313999976963
1,1,1,1,4074199.613100000191480,611213.295087000005879
0,0,0,0,4074192.030979999806732,611255.491207999992184
0,0,0,0,4074199.787620000075549,611258.904130000039004
1,1,2,2,4074195.889909999910742,611302.069831999950111
1,1,1,1,4074196.801320000085980,611365.344622000004165
0,0,0,0,4074196.471659999806434,611358.615737000014633
1,1,0,0,4074194.183449999894947,611387.644961999962106
0,0,0,0,4074199.554920000024140,611409.460512000019662
1,1,1,1,4074181.346210000105202,611153.937399000045843
0,0,0,0,4074180.628719999920577,611149.923337999964133
1,1,1,1,4074173.337480000220239,611190.994747000047937
0,0,0,0,4074184.274340000003576,611211.704976000008173
0,0,0,0,4074183.498680000193417,611236.448656999971718
0,0,2,2,4074173.298700000159442,611241.529255999950692
0,0,0,0,4074181.578910000156611,611271.101446000044234
0,0,0,0,4074181.346210000105202,611305.870585000026040
0,0,0,0,4074178.030249999836087,611341.958352999994531
1,1,1,1,4074186.834030000027269,611385.763977000024170
0,0,0,0,4074178.553820000030100,611394.916811999981292
1,1,1,1,4074170.603269999846816,611381.109993000049144
0,0,0,0,4074168.935589999891818,611404.632004000013694
1,1,1,1,4074171.766760000027716,611433.506095999968238
0,0,0,0,4074159.220399999991059,611163.788332000025548
1,1,1,1,4074167.791480000130832,611187.581825000001118
1,1,1,1,4074167.675129999872297,611220.450586999999359
0,0,0,0,4074162.846630000043660,611230.669959999970160
0,0,0,0,4074152.161849999800324,611227.761219999985769
0,0,2,2,4074154.023450000211596,611242.867276999983005
0,0,0,0,4074159.491880000103265,611286.944384000031278
0,0,0,0,4074152.472120000049472,611287.700655999942683
0,0,0,0,4074160.054239999968559,611356.114220999996178
1,1,1,1,4074167.209739999845624,611362.513448999961838
0,0,0,0,4074165.871720000170171,611385.957892999984324
0,0,1,1,4074152.510900000110269,611412.058987000025809
0,0,0,0,4074156.602529999800026,611440.351330999983475
1,1,1,1,4074146.402550000231713,611194.950633000000380
0,0,0,0,4074143.629550000187010,611199.022868999978527
0,0,0,0,4074147.604830000083894,611256.751661999966018
0,0,0,0,4074146.092279999982566,611241.858913999982178
0,0,0,0,4074139.440959999803454,611279.129568999982439
1,1,1,1,4074130.074820000212640,611295.709386999951676
0,0,1,1,4074130.831089999992400,611301.623825000016950
0,0,0,0,4074134.922720000147820,611333.678139999974519
0,0,0,0,4074142.427269999869168,611370.017998000024818
0,0,0,0,4074135.775950000155717,611373.566661000018939
0,0,0,0,4074138.180509999860078,611394.432021999964491
1,1,1,1,4074129.182810000143945,611407.521351999952458
0,0,2,2,4074146.790380000136793,611433.544879999943078
0,0,0,0,4074134.050100000109524,611454.856248000054620
0,0,1,1,4074119.079779999796301,611123.453804000047967
0,0,0,0,4074123.326539999805391,611166.890987999970093
0,0,0,0,4074124.160379999782890,611232.376420999993570
0,0,0,0,4074122.919319999869913,611239.745228999992833
0,0,0,0,4074116.888530000112951,611252.815167999942787
1,1,1,1,4074111.497669999953359,611266.447461999952793
1,1,1,1,4074112.234550000168383,611298.656910000019707
1,1,1,1,4074110.857749999966472,611332.107420000014827
0,0,0,0,4074117.935680000111461,611404.011473000049591
1,1,1,1,4074114.697279999963939,611442.814064000034705
0,0,0,0,4074114.154320000205189,611456.834190999972634
1,1,1,1,4074100.366890000179410,611109.724551000050269
0,0,0,0,4074104.788180000148714,611121.592210000031628
1,1,1,1,4074094.665759999770671,611119.885750000015832
0,0,0,0,4074107.871439999900758,611155.178461999981664
0,0,0,0,4074092.590859999880195,611170.866265999968164
0,0,0,0,4074102.441790000069886,611208.602319999947213
