GrndTruth,RASTERVALU,Classified,Latitude,Longitude
1,0,0,4074337.347810000181198,611561.268261000048369
0,0,0,4074338.313810000196099,611580.721535000018775
2,0,0,4074345.492200000211596,611618.662081000045873
2,0,0,4074323.540649999864399,611117.040767000056803
0,0,0,4074328.803689999971539,611142.623154000029899
0,0,0,4074322.991030000150204,611162.759290999965742
0,0,0,4074327.821030000224710,611202.914977999986149
0,0,0,4074325.539270000066608,611222.168388999998569
0,0,0,4074331.385249999817461,611259.709210000000894
0,0,0,4074327.637829999905080,611309.391672000056133
0,0,0,4074327.571210000198334,611342.502209000056610
0,0,0,4074328.986899999901652,611383.773795000044629
0,0,0,4074321.009060000069439,611397.714197000022978
2,0,0,4074329.653109999839216,611443.532652999972925
0,0,0,4074318.993780000135303,611449.178764999960549
0,0,0,4074323.090960000175983,611485.620343000045978
0,0,0,4074323.640579999890178,611521.961988999973983
2,2,2,4074322.441399999894202,611520.612917999969795
0,0,0,4074330.152759999968112,611546.178650000016205
0,0,0,4074322.824469999875873,611579.172601000056602
0,0,0,4074332.984149999916553,611612.183208000031300
0,0,0,4074325.689170000143349,611627.839095999952406
2,1,1,4074303.654339999891818,611110.578548999968916
0,0,0,4074309.250490000005811,611140.641184999956749
0,0,0,4074302.971479999832809,611157.895972999976948
0,0,0,4074312.631490000057966,611193.787928999983706
0,0,0,4074301.289299999829382,611221.202387999976054
0,0,0,4074301.888890000060201,611255.512100000050850
0,0,0,4074314.596810000017285,611300.314587999950163
1,2,2,4074303.271269999910146,611344.817281999974512
0,0,0,4074311.598869999870658,611358.824305000016466
0,0,0,4074317.178359999787062,611399.329752000048757
2,0,0,4074316.362259999848902,611444.715171999996528
0,0,0,4074303.704299999866635,611489.217866000020877
0,0,0,4074303.737619999796152,611517.548361000022851
2,2,2,4074311.448969999793917,611556.871289000031538
0,0,0,4074315.829289999790490,611582.070606000022963
0,0,0,4074315.496189999859780,611615.530903000035323
2,2,2,4074298.324680000077933,611125.451643000007607
2,2,2,4074295.443330000154674,611140.008288000011817
0,0,0,4074294.360739999916404,611166.823160000029020
0,0,0,4074286.832589999772608,611184.227843999979086
0,0,0,4074295.643190000206232,611214.890066999942064
0,0,0,4074289.180970000103116,611239.956143000046723
0,0,0,4074288.381519999820739,611276.614238000009209
0,0,0,4074293.344769999850541,611337.372408000053838
0,0,0,4074289.614010000135750,611365.569661000045016
1,1,1,4074294.560599999967963,611391.152049000025727
2,2,2,4074298.707739999983460,611411.088323000003584
0,0,0,4074293.294799999799579,611410.655288000009023
2,0,0,4074295.959640000015497,611451.094112999970093
0,3,3,4074288.614690000191331,611463.868651999975555
0,0,0,4074298.174780000001192,611494.214426000020467
0,0,0,4074291.496040000114590,611505.006995999952778
0,0,0,4074300.073470000177622,611533.021042000036687
0,0,0,4074269.894249999895692,611166.889780999976210
0,0,0,4074278.521639999933541,611203.064875000040047
0,0,0,4074273.142010000068694,611213.940720999962650
0,0,0,4074277.705539999995381,611245.868739000055939
0,0,0,4074267.862310000229627,611262.690490999957547
0,0,0,4074270.277319999877363,611306.227183999959379
2,2,2,4074276.772849999833852,611340.969931000028737
0,0,0,4074276.006709999870509,611354.527264000033028
0,0,0,4074267.196109999902546,611372.764708000002429
0,0,0,4074273.475120000075549,611393.050740999984555
0,0,0,4074271.776289999950677,611430.991287000011653
0,0,0,4074268.262039999943227,611462.136510999989696
0,0,0,4074278.571609999984503,611507.971620999975130
2,1,1,4074258.268920000176877,611160.394253000034951
0,0,0,4074255.121090000029653,611168.072299999999814
2,2,2,4074254.704710000194609,611160.943873999989592
0,0,0,4074263.481999999843538,611191.522820999962278
0,0,0,4074253.655429999809712,611221.152421999955550
0,0,0,4074262.932380000129342,611248.283743000007235
0,0,0,4074250.774079999886453,611262.157525000046007
0,0,0,4074253.605460000224411,611299.548448999994434
0,0,0,4074260.600649999920279,611374.530158999958076
0,0,0,4074264.214829999953508,611405.075795999960974
2,0,0,4074254.538149999920279,611393.500432000029832
0,0,0,4074251.440289999824017,611411.288184999953955
2,0,0,4074265.697139999829233,611472.945735999965109
0,0,0,4074238.749019999988377,611134.895141000044532
2,2,2,4074245.594310000073165,611162.026461999979801
3,0,0,4074248.159210000187159,611184.494326999993064
0,0,0,4074245.427759999874979,611211.992061999975704
0,0,0,4074233.152879999950528,611239.006796999950893
0,0,0,4074243.295890000183135,611257.011067999992520
0,0,0,4074245.610969999805093,611291.137573000043631
1,1,1,4074237.616469999775290,611353.078260999987833
2,0,0,4074234.751780000049621,611365.219902000040747
0,0,0,4074241.114060000050813,611398.230509000015445
0,0,0,4074233.569259999785572,611410.072355999960564
0,2,2,4074232.686530000064522,611418.699749000021257
3,0,0,4074229.671939999796450,611125.501609000028111
0,0,0,4074217.546959999948740,611166.240227999980561
0,0,0,4074222.876620000228286,611202.132183999987319
0,0,0,4074217.030640000011772,611210.909473999985494
0,0,0,4074223.842619999777526,611247.767432000022382
0,0,0,4074216.797470000106841,611261.024971000035293
2,0,0,4074224.858589999843389,611328.661737999995239
2,0,0,4074223.226379999890924,611366.469042000011541
2,0,0,4074221.527550000231713,611380.809169000014663
0,0,0,4074226.074419999960810,611395.349158999975771
0,0,0,4074210.585080000106245,611166.789849000051618
