Classified,GrndTruth,Latitude,Longitude
2,0,4074370.251070000231266,611397.489824000047520
0,0,4074375.417609999887645,611405.179563999990933
1,1,4074365.341990000102669,611472.190163000021130
0,0,4074369.186869999859482,611503.395405999966897
0,0,4074370.045100000221282,611527.717643999960274
0,0,4074363.591210000216961,611566.097688999958336
2,0,4074364.346450000070035,611607.876325999968685
0,0,4074375.709410000126809,611621.539346999954432
0,0,4074355.729820000007749,611120.641990000032820
1,1,4074347.250510000158101,611116.882942999945953
0,0,4074344.366849999874830,611156.859295999980532
0,0,4074350.940899999812245,611185.644330000039190
2,0,4074351.146869999822229,611202.620119999977760
0,0,4074360.913530000019819,611231.954420999973081
0,0,4074347.799769999925047,611251.573559000040404
0,0,4074355.232050000224262,611311.203378999955021
0,1,4074345.207919999957085,611328.985905000008643
1,1,4074356.656709999777377,611343.730296000023372
0,0,4074351.164040000177920,611384.976830000057817
2,0,4074350.940899999812245,611394.039739000028931
0,0,4074349.945350000169128,611411.341656000004150
0,0,4074349.464740000199527,611442.289430000004359
0,0,4074358.922429999802262,611481.819503000006080
2,0,4074352.451379999984056,611509.025393999996595
0,0,4074348.246050000190735,611509.506002999958582
0,0,4074354.408139999955893,611531.150564000010490
0,0,4074356.107439999934286,611566.269334999960847
0,0,4074354.837259999942034,611601.061979999998584
0,0,4074356.399240000173450,611637.605412999982946
1,1,4074352.828999999910593,611640.574889000039548
2,1,4074341.963810000102967,611124.692836000001989
0,0,4074336.436809999868274,611154.439087999984622
2,0,4074335.097970000002533,611183.927870000014082
0,0,4074332.300139999948442,611190.004138999967836
0,0,4074336.797259999904782,611220.763101999997161
0,0,4074334.548700000159442,611247.368232000037096
1,1,4074329.467980000190437,611305.865189000032842
0,0,4074338.256260000169277,611328.093345999950543
0,0,4074330.738160000182688,611341.756367000052705
0,0,4074329.519470000173897,611379.312511999974959
2,1,4074341.654850000049919,611419.906791000044905
0,0,4074335.647239999845624,611420.524716999963857
0,0,4074342.272770000156015,611455.283031999948435
0,0,4074330.978469999972731,611492.324238999979571
0,0,4074338.393569999840111,611517.710682000033557
1,1,4074330.463529999833554,611530.790107000037096
0,0,4074331.287430000025779,611559.815445999964140
0,0,4074338.204760000109673,611590.557244000025094
2,0,4074340.916770000010729,611603.516517000040039
0,0,4074333.896449999883771,611631.872437000041828
0,0,4074312.440700000151992,611109.690975000034086
1,1,4074310.930209999904037,611120.487508999998681
2,0,4074310.346619999967515,611133.446782000013627
0,0,4074313.728039999958128,611167.175220999983139
2,0,4074325.279819999821484,611221.089229000033811
0,0,4074321.675249999854714,611226.684889000025578
3,1,4074318.911749999970198,611224.384833000018261
0,0,4074312.801150000188500,611257.186382999992929
1,1,4074317.349770000204444,611316.335594999953173
0,1,4074315.942280000075698,611355.676857999991626
0,0,4074320.628210000228137,611388.993346999981441
0,0,4074325.794759999960661,611437.620657999999821
1,1,4074317.830380000174046,611441.963301999960095
0,0,4074324.061129999812692,611487.106200000038370
0,0,4074321.675249999854714,611544.882243999978527
0,0,4074309.385400000028312,611559.283342999988236
0,0,4074315.719140000175685,611590.419927999959327
2,0,4074315.290020000189543,611584.961585000040941
1,1,4074323.391710000112653,611607.533033999963664
0,0,4074325.829090000130236,611623.805075000040233
0,0,4074300.579959999769926,611120.950952999992296
2,0,4074304.630799999926239,611149.718822999973781
0,0,4074304.682299999985844,611169.852898000041023
0,0,4074306.106960000004619,611208.679223999963142
0,0,4074306.312940000090748,611239.626996999955736
1,1,4074296.305970000103116,611229.808845999999903
0,0,4074294.623840000014752,611279.208564999978989
1,1,4074303.000169999897480,611340.022742999950424
0,0,4074293.885759999975562,611348.536383999977261
3,0,4074302.021790000144392,611380.857325999997556
2,1,4074292.272290000226349,611372.446671999990940
1,1,4074306.982350000180304,611424.232270000036806
0,0,4074308.286859999876469,611450.425449999980628
0,0,4074295.310430000070482,611466.028071000007913
0,0,4074298.314230000134557,611509.866460000048392
0,0,4074306.278609999921173,611538.222379000042565
0,0,4074306.518910000100732,611602.795603999984451
1,1,4074308.218210000079125,611636.026270000031218
0,0,4074278.574940000195056,611165.166962999966927
2,1,4074273.425559999886900,611160.532521000015549
0,0,4074282.660120000131428,611206.894104999955744
0,0,4074282.368319999892265,611246.149545000051148
0,0,4074273.631539999973029,611256.516963999951258
0,0,4074290.023730000015348,611320.008818999980576
