GrndTruth,Classified,RASTERVALU,Latitude,Longitude
0,0,0,4074698.399189999792725,610701.418709999998100
1,1,1,4074694.535829999949783,610683.683547999942675
0,0,0,4074707.007490000221878,610722.783876999979839
1,1,1,4074706.022200000006706,610733.181244999985211
0,0,0,4074705.736990000121295,610738.237321999971755
0,0,0,4074714.863849999848753,610772.255645000026561
0,0,0,4074717.249280000105500,610798.080531000043266
0,0,0,4074701.199479999952018,610787.942447999957949
0,0,0,4074715.589850000105798,610827.561348999966867
0,0,0,4074705.166559999808669,610831.683996999985538
0,0,0,4074694.717329999897629,610823.438701999955811
0,0,0,4074710.611560000106692,610846.618870000005700
0,0,0,4074702.106980000156909,610852.608376999967732
0,0,0,4074715.045349999796599,610863.368745999992825
0,0,0,4074703.714550000149757,610874.206900999997742
0,0,0,4074697.465760000050068,610876.825688999961130
1,1,1,4074714.786069999914616,610905.165648999973200
0,0,0,4074711.026420000009239,610893.808921999996528
1,1,1,4074702.106980000156909,610888.078701999969780
0,0,0,4074693.420899999793619,610888.286130000022240
0,0,0,4074703.144129999913275,610918.648521000053734
0,0,0,4074691.813329999800771,610921.396952999988571
0,0,0,4074716.030640000011772,610972.113294000038877
0,0,0,4074702.599619999993593,610986.944452999974601
0,0,0,4074698.139909999910742,610979.736303000012413
0,0,0,4074714.111920000053942,611012.535981999943033
1,1,1,4074705.788840000052005,610996.615820999955758
0,0,0,4074705.036909999791533,610996.745464000036009
0,0,0,4074692.876399999950081,611013.547197000007145
0,0,0,4074710.170779999811202,611041.783442000043578
0,0,0,4074700.188260000199080,611031.671287999954075
0,0,0,4074710.196700000204146,611049.173092999961227
0,0,0,4074698.606620000209659,611058.662960999994539
1,0,0,4074701.147619999945164,611087.002921000006609
0,0,0,4074694.898829999845475,611080.079984999960288
0,0,0,4074703.636770000215620,611116.717095999978483
1,1,1,4074696.869400000199676,611101.756293999962509
0,0,0,4074715.252780000213534,611135.593116999953054
0,0,0,4074695.572970000095665,611143.008696999982931
0,0,0,4074697.076830000150949,611165.696222000056878
0,0,0,4074701.951410000212491,611184.753742999979295
0,0,0,4074686.679459999781102,610593.218662000028417
1,0,0,4074679.367599999997765,610582.562007999978960
0,0,0,4074670.733380000106990,610585.854939999990165
1,1,1,4074690.698400000110269,610612.198397999978624
0,0,0,4074686.731319999787956,610598.637740000034682
0,0,0,4074677.837809999939054,610618.784262000001036
0,0,0,4074690.231680000200868,610627.288842999958433
0,0,0,4074683.308749999850988,610635.300780000048690
0,0,0,4074673.404019999783486,610647.383508000057191
0,0,0,4074688.157389999832958,610663.174024999956600
0,0,0,4074677.863739999942482,610652.517371000023559
0,0,0,4074667.155230000149459,610674.323322999989614
0,0,0,4074681.001099999994040,610677.642183999996632
0,0,0,4074665.936579999979585,610696.492275999975391
0,0,0,4074682.427170000039041,610705.904358000028878
0,0,0,4074673.870740000158548,610719.957658999948762
0,0,0,4074664.795729999896139,610713.838510000030510
0,0,0,4074680.871460000053048,610738.055822000023909
0,0,0,4074667.207090000156313,610742.411826999974437
1,1,1,4074689.168610000051558,610769.792428000015207
1,1,1,4074676.489519999828190,610777.726580000016838
0,0,0,4074674.907879999838769,610759.472845999989659
0,0,0,4074686.497959999833256,610808.218614000012167
1,0,0,4074672.470590000040829,610800.077032999950461
0,0,0,4074684.579249999951571,610817.267695000045933
0,0,0,4074676.308019999880344,610815.063763999962248
0,0,0,4074666.610729999840260,610809.566900999983773
0,1,1,4074688.520390000194311,610835.469571999972686
0,0,0,4074681.441889999900013,610837.051217000000179
0,0,0,4074669.385089999996126,610849.911802000016905
0,0,0,4074686.679459999781102,610863.446531999972649
0,0,0,4074676.567309999838471,610876.410831999965012
1,0,0,4074668.036799999885261,610881.855837999959476
0,0,0,4074683.256889999844134,610905.217505999957211
0,0,0,4074668.270159999839962,610906.876936999964528
0,0,0,4074680.275100000202656,610923.626811999944039
0,0,0,4074669.099870000034571,610928.008746000006795
1,1,1,4074676.878450000192970,610955.207846999983303
0,0,0,4074675.841310000047088,610952.926130000036210
0,0,0,4074685.823820000048727,610991.456030000001192
0,0,0,4074672.003880000207573,610985.233165999990888
0,0,0,4074685.927529999986291,611019.069988999981433
0,0,0,4074676.308019999880344,611004.472186999977566
0,0,0,4074666.792229999788105,611018.214344999985769
0,0,0,4074683.464319999795407,611022.336991999996826
0,0,0,4074673.844810000155121,611047.124733999953605
0,0,0,4074690.802110000047833,611054.177312999963760
0,0,0,4074676.411739999894053,611048.317449999973178
0,0,0,4074665.418010000139475,611048.602664000005461
1,1,1,4074681.778959999792278,611086.069491000031121
0,0,0,4074675.452380000147969,611081.713485999964178
0,0,0,4074690.361330000218004,611103.571296000038274
0,0,0,4074666.688509999774396,611103.519439000054263
0,0,0,4074680.456600000150502,611145.990485999966040
0,0,0,4074672.548380000051111,611151.279920000000857
1,0,0,4074687.535110000055283,611165.048007000004873
1,1,1,4074673.637380000203848,611158.539927999954671
0,0,0,4074673.481809999793768,611161.677289000013843
0,0,0,4074688.546320000197738,611187.035460000042804
0,0,0,4074652.920429999940097,610564.230487999971956
0,0,0,4074660.569360000081360,610583.443579999962822
0,0,0,4074651.805499999783933,610570.894137999974191
0,0,0,4074638.711550000123680,610577.298502000048757
0,0,0,4074658.417289999779314,610622.129050999996252
0,0,0,4074647.890279999934137,610613.442969999974594
0,0,0,4074659.661859999876469,610647.928008000017144
0,0,0,4074648.331060000229627,610627.288842999958433
1,0,0,4074647.942139999940991,610628.248201000038534
0,0,0,4074639.152340000029653,610643.286789000034332
0,0,0,4074652.764859999995679,610670.563675999990664
0,0,0,4074640.137629999779165,610666.518814999959432
0,0,0,4074654.735429999884218,610678.342256000032648
0,0,0,4074643.093489999882877,610687.443195000058040
0,0,0,4074661.450939999893308,610707.978646000032313
0,0,0,4074646.334559999871999,610711.453077999991365
1,0,0,4074661.243509999942034,610740.700538999983110
0,0,0,4074649.471919999923557,610748.167975999996997
1,0,0,4074642.652699999976903,610740.985754000023007
0,0,0,4074662.125080000143498,610772.177860000054352
0,1,1,4074649.031140000093728,610773.863219000049867
0,0,0,4074656.731929999776185,610805.366467999992892
1,1,1,4074646.153059999924153,610792.687382000032812
0,0,0,4074642.082270000129938,610786.101518000010401
0,0,0,4074656.809719999786466,610829.583779999986291
